month_date_yyyymm,state,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
202106,alaska,337000,-0.0088,0.089,1466,0.1409,-0.4178,1012,0.0455,-0.1028,24,-0.6667,-0.4545,195.1744186,0.0025,0.1161,1720,-0.0211,-0.0249,401496.0708,-0.0331,0.1355
202106,new jersey,449000,-0.002,0.0454,23666,0.1388,-0.2798,16716,0.0225,0.0067,540,-0.1,-0.0426,0,,-1,0,,-1,665323.9338,-0.0221,0.0528
202106,missouri,249450,0.0144,0.085,9138,0.0959,-0.4167,7888,0.1185,0.1166,452,-0.3468,0.1895,132.699552,0.0112,0.17,1752.5,-0.0026,-0.0691,349880.3441,-0.0093,0.1184
202106,wyoming,312500,0.0593,0.078,1549,0.1184,-0.459,936,0.1196,-0.1365,28,-0.4615,0,143.547092,0.0534,0.1152,2159,0.0281,-0.0253,797227.4223,0.0651,0.1821
202106,delaware,387450,0.0199,0.1397,1557,0.1716,-0.5048,1324,0.0541,0.1107,344,0.2836,0.8696,179.1294643,0.0055,0.1415,1967.5,0.0049,-0.0172,492712.6348,-0.0305,0.0885
202106,florida,382450,0.0201,0.1252,51226,0.0132,-0.5822,35280,0.0168,-0.0469,4076,-0.1423,-0.1364,228.375,0.0136,0.2096,1602,0.0152,-0.056,866212.8931,0.0272,0.2616
202106,texas,339995,0.0303,0.0969,41357,0.096,-0.5052,38448,0.1444,0.0301,4244,-0.0924,-0.0363,161.3951613,0.0215,0.1629,2089.5,0.0017,-0.0607,513019.5468,0.0131,0.1496
202106,new york,577292,-0.0215,0.1547,56631,0.0419,-0.094,21516,0.0052,-0.0107,940,-0.1031,0.1033,231.625,-0.0183,0.1827,1331,0.0184,-0.1479,1269032.668,-0.0218,0.1927
202106,south carolina,313000,0.0299,0.0778,8492,0.0333,-0.6177,6860,0.0848,-0.0705,800,-0.4334,-0.3548,140.1904456,0.0016,0.1151,1660.5,-0.0027,-0.0175,517368.321,0.0107,0.1704
202106,new hampshire,419450,0.023,0.0619,2090,0.2752,-0.4046,2464,0.2369,0.1344,60,-0.25,-0.4,215.5647654,-0.0101,0.147,1918.5,0.014,-0.046,564468.89,-0.0128,0.1253
202106,indiana,239445,0.0193,0.0191,6807,0.1789,-0.3998,7076,0.1904,0.1615,280,-0.2308,0.0145,121.5896369,0.0116,0.136,1872.5,0.0155,-0.0712,322608.0849,0.0044,0.0694
202106,kentucky,249900,0.0036,0.0456,5130,0.0862,-0.4263,4044,0.0575,0.0989,220,0.0185,0.375,126.3720546,0.0325,0.1303,1822,0.0072,-0.0656,358657.4157,0.0099,0.1318
202106,oklahoma,229950,0.022,-0.0375,5570,0.116,-0.4786,4368,0.1692,-0.0224,264,-0.2903,0.0313,120.5292631,0.0281,0.0683,1819,-0.0093,-0.0925,349164.755,0.007,0.1084
202106,michigan,260000,0,0.0402,15802,0.2277,-0.419,15232,0.1391,0.0739,600,-0.0964,0.3158,157.7041841,0.0182,0.1327,1633,-0.0103,-0.0634,392092.7996,-0.014,0.1143
202105,missouri,245900,-0.0134,0.0929,8338,0.0317,-0.5074,7052,0.0627,0.0889,692,-0.2669,1.4028,131.2290503,0.0032,0.1752,1757,-0.0068,-0.0487,353166.4231,-0.0142,0.17
202105,maine,339000,0.0353,0.2327,2446,0.0969,-0.5615,2132,0.3358,0.2225,100,0.0417,0.7857,194.9874687,0.0129,0.1961,1700,9.00E-04,0.0119,512987.3666,-0.0053,0.2442
202105,kansas,220000,0.0602,0.0476,3240,0.0465,-0.5375,2772,0.0845,0.0117,244,0.0517,0.9063,110,0.0379,0.1158,1876,0.0119,-0.0804,316209.5282,0.0051,0.0556
202105,louisiana,275000,2.00E-04,0.1463,6863,-0.0254,-0.5602,3560,0.0183,-0.1144,320,0.3115,1.5,137.6357561,0.0219,0.1301,1960,-0.0053,0.0119,388583.2412,0.0078,0.2342
202105,pennsylvania,284900,0.0093,0.1876,16300,0.0633,-0.4524,13828,0.0837,0.3562,964,-0.0512,1.1327,148.84375,0.0212,0.2811,1652,0.0147,-0.0282,426755.0953,-0.0265,0.2398
202105,florida,374900,0.0203,0.1191,50561,-0.0636,-0.6217,34696,0.0453,-0.0022,4752,-0.0318,0.1134,225.3125,7.00E-04,0.215,1578,0.0154,-0.0745,843295.1642,-0.0167,0.2664
202105,west virginia,169000,0.034,-0.0059,2709,-7.00E-04,-0.5233,1532,0.1199,0.0974,60,-0.3182,0.25,87.43523316,0.0327,0.0492,1568,3.00E-04,-0.0468,276364.2965,0.0255,0.1581
202105,arkansas,210000,0.0219,0.0505,4682,-0.0302,-0.5695,2852,0.0532,-0.1009,124,-0.4259,0.1923,111.0543784,0.0465,0.1021,1824,-0.0138,-0.0637,323128.0369,0.018,0.1838
202105,mississippi,235000,0.024,0.1074,3617,-0.0644,-0.5754,2008,0.1156,-0.0839,188,-0.2769,0.3056,107.6658053,0.0124,0.0764,2004,-0.005,0.002,332475.0276,0.0374,0.2245
202105,nevada,400000,0.0076,0.1561,5346,-0.0261,-0.5293,4592,0.038,0.1491,456,0.0088,0.6522,222.5806452,0.0236,0.204,1807,0.0014,-0.0388,734053.3673,-0.0301,0.246
202105,vermont,359000,0.0257,0.2007,1398,0.0527,-0.574,900,0.1598,0.1719,60,0.1538,0.6667,190.8333333,0.0227,0.2568,1924,-0.0077,-0.0332,558232.2729,-0.0339,0.2695
